state,x,y
Andhra Pradesh,-56,-181
Arunachal Pradesh,258,152
Assam,211,94
Bihar,80,64
Chhattisgarh,6,-24
Goa,-180,-168
Gujarat,-235,4
Haryana,-118,147
Himachal Pradesh,-100,216
Jharkhand,61,14
Karnataka,-148,-191
Kerala,-124,-295
Madhya Pradesh,-88,7
Maharashtra,-155,-75
Manipur,247,52
Meghalaya,177,67
Mizoram,222,0
Nagaland,255,90
Odisha,69,-51
Punjab,-146,187
Rajasthan,-182,91
Sikkim,127,115
Tamil Nadu,-73,-271
Telangana,-62,-117
Tripura,189,27
Uttar Pradesh,-34,100
Uttarakhand,-45,167
West Bengal,135,-2